200610 180339.097|CONFIG|Thread-7|setFileHandlers|Now logging to C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\pc2Client\pc2Client\bin\logs directory.
200610 181253.917|INFO|Thread-16|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #820 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 181254.895|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #824 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 181254.895|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #824, o#824 ) recieveObject
200610 181254.895|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 181254.896|INFO|Thread-17|dumpPacket|    To: TEAM130 @ site 1
200610 181254.896|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord-83217037990157588
200610 181254.896|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 181254.896|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 31 JUDGED 12 min 752175ms from TEAM130 @ site 1 id Run--7601793046533012665 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
200610 181254.896|INFO|Thread-17|info|handlePacket start Packet[RUN_JUDGEMENT] #824 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 181254.896|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #824, o#824 ) handlePacket
200610 181254.896|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 181254.896|INFO|Thread-17|dumpPacket|    To: TEAM130 @ site 1
200610 181254.896|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord-83217037990157588
200610 181254.897|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 181254.897|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 31 JUDGED 12 min 752175ms from TEAM130 @ site 1 id Run--7601793046533012665 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
200610 181255.534|INFO|Thread-17|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 31 JUDGED 12 min 752175ms from TEAM130 @ site 1 id Run--7601793046533012665 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213; runFiles=null
200610 181255.534|INFO|Thread-17|runChanged|Event not for me: sent to null but my ID is TEAM130 @ site 1
200610 181255.534|INFO|Thread-17|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #824 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184407.887|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 4 C/C++ file: C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\4.cpp
200610 184407.888|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #6 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 184407.888|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #6 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 184408.019|INFO|Thread-19|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1720 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184408.020|INFO|Thread-19|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1720, o#1720 ) recieveObject
200610 184408.020|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184408.020|INFO|Thread-19|dumpPacket|    To: TEAM130 @ site 1
200610 184408.020|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 143 QUEUED_FOR_COMPUTER_JUDGEMENT 43 min 2627173ms from TEAM130 @ site 1 id Run-4667820112019304962 problem KIEM_TRA_-_BAI_4-759200986478668319 lang C/C++-8920418238657793213
200610 184408.020|INFO|Thread-19|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1720 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184408.020|INFO|Thread-19|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1720, o#1720 ) handlePacket
200610 184408.020|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184408.020|INFO|Thread-19|dumpPacket|    To: TEAM130 @ site 1
200610 184408.021|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 143 QUEUED_FOR_COMPUTER_JUDGEMENT 43 min 2627173ms from TEAM130 @ site 1 id Run-4667820112019304962 problem KIEM_TRA_-_BAI_4-759200986478668319 lang C/C++-8920418238657793213
200610 184408.821|INFO|Thread-19|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1720 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184410.258|INFO|Thread-20|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1724 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184410.258|INFO|Thread-20|dumpPacket|Packet RUN_JUDGEMENT (Seq #1724, o#1724 ) recieveObject
200610 184410.258|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184410.258|INFO|Thread-20|dumpPacket|    To: TEAM130 @ site 1
200610 184410.258|INFO|Thread-20|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord-6807053509077904573
200610 184410.258|INFO|Thread-20|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 184410.259|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 143 JUDGED 43 min 2627173ms from TEAM130 @ site 1 id Run-4667820112019304962 problem KIEM_TRA_-_BAI_4-759200986478668319 lang C/C++-8920418238657793213
200610 184410.259|INFO|Thread-20|info|handlePacket start Packet[RUN_JUDGEMENT] #1724 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184410.259|INFO|Thread-20|dumpPacket|Packet RUN_JUDGEMENT (Seq #1724, o#1724 ) handlePacket
200610 184410.259|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184410.259|INFO|Thread-20|dumpPacket|    To: TEAM130 @ site 1
200610 184410.259|INFO|Thread-20|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord-6807053509077904573
200610 184410.259|INFO|Thread-20|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 184410.259|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 143 JUDGED 43 min 2627173ms from TEAM130 @ site 1 id Run-4667820112019304962 problem KIEM_TRA_-_BAI_4-759200986478668319 lang C/C++-8920418238657793213
200610 184410.998|INFO|Thread-20|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 143 JUDGED 43 min 2627173ms from TEAM130 @ site 1 id Run-4667820112019304962 problem KIEM_TRA_-_BAI_4-759200986478668319 lang C/C++-8920418238657793213; runFiles=null
200610 184410.998|INFO|Thread-20|runChanged|Event not for me: sent to null but my ID is TEAM130 @ site 1
200610 184410.998|INFO|Thread-20|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1724 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184903.693|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 3 C/C++ file: C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\3.cpp
200610 184903.694|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #7 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 184903.695|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #7 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 184903.822|INFO|Thread-22|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1945 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184903.822|INFO|Thread-22|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1945, o#1945 ) recieveObject
200610 184903.822|INFO|Thread-22|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184903.822|INFO|Thread-22|dumpPacket|    To: TEAM130 @ site 1
200610 184903.822|INFO|Thread-22|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 170 QUEUED_FOR_COMPUTER_JUDGEMENT 48 min 2922980ms from TEAM130 @ site 1 id Run--4569465616309952576 problem KIEM_TRA_-_BAI_3--8718663582108662515 lang C/C++-8920418238657793213
200610 184903.822|INFO|Thread-22|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1945 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184903.822|INFO|Thread-22|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1945, o#1945 ) handlePacket
200610 184903.823|INFO|Thread-22|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184903.823|INFO|Thread-22|dumpPacket|    To: TEAM130 @ site 1
200610 184903.823|INFO|Thread-22|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 170 QUEUED_FOR_COMPUTER_JUDGEMENT 48 min 2922980ms from TEAM130 @ site 1 id Run--4569465616309952576 problem KIEM_TRA_-_BAI_3--8718663582108662515 lang C/C++-8920418238657793213
200610 184906.215|INFO|Thread-23|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1953 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184906.215|INFO|Thread-23|dumpPacket|Packet RUN_JUDGEMENT (Seq #1953, o#1953 ) recieveObject
200610 184906.215|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184906.215|INFO|Thread-23|dumpPacket|    To: TEAM130 @ site 1
200610 184906.215|INFO|Thread-23|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord--2028205045023089147
200610 184906.215|INFO|Thread-23|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 184906.215|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 170 JUDGED 48 min 2922980ms from TEAM130 @ site 1 id Run--4569465616309952576 problem KIEM_TRA_-_BAI_3--8718663582108662515 lang C/C++-8920418238657793213
200610 184906.216|INFO|Thread-23|info|handlePacket start Packet[RUN_JUDGEMENT] #1953 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 184906.216|INFO|Thread-23|dumpPacket|Packet RUN_JUDGEMENT (Seq #1953, o#1953 ) handlePacket
200610 184906.216|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 184906.216|INFO|Thread-23|dumpPacket|    To: TEAM130 @ site 1
200610 184906.216|INFO|Thread-23|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord--2028205045023089147
200610 184906.216|INFO|Thread-23|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 184906.216|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 170 JUDGED 48 min 2922980ms from TEAM130 @ site 1 id Run--4569465616309952576 problem KIEM_TRA_-_BAI_3--8718663582108662515 lang C/C++-8920418238657793213
